** Analysing ad d(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,1
town.txt,451617,10000,9
large-town.txt,2255053,50000,69
city.txt,4511688,100000,117
large-city.txt,22554540,500000,959
metropolis.txt,45107513,1000000,2233
capital.txt,90209834,2000000,4707
megalopolis.txt,227564229,5000000,14443
Hashtable:
village.txt,4561,100,1
small-town.txt,44892,1000,1
town.txt,451617,10000,37
large-town.txt,2255053,50000,70
city.txt,4511688,100000,229
large-city.txt,22554540,500000,796
metropolis.txt,45107513,1000000,1660
capital.txt,90209834,2000000,3191
megalopolis.txt,227564229,5000000,7578
