** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,8
town.txt,451617,10000,24
large-town.txt,2255053,50000,193
city.txt,4511688,100000,254
large-city.txt,22554540,500000,2096
metropolis.txt,45107513,1000000,3655
capital.txt,90209834,2000000,10752
Hashtable:
village.txt,4561,100,1
small-town.txt,44892,1000,1
town.txt,451617,10000,15
large-town.txt,2255053,50000,115
city.txt,4511688,100000,246
large-city.txt,22554540,500000,1966
metropolis.txt,45107513,1000000,5685
capital.txt,90209834,2000000,11809
